method,run_name,seed,num_updates,num_env_steps,wall_clock_seconds,solve_rate,checkpoint_solve_rate,validation_solve_rate,SixteenRooms,checkpoint_SixteenRooms,SixteenRooms2,checkpoint_SixteenRooms2,Labyrinth,checkpoint_Labyrinth,LabyrinthFlipped,checkpoint_LabyrinthFlipped,Labyrinth2,checkpoint_Labyrinth2,StandardMaze,checkpoint_StandardMaze,StandardMaze2,checkpoint_StandardMaze2,StandardMaze3,checkpoint_StandardMaze3
mna_frontier_lp025_plr,mna_frontier_lp025_plr_u30000_s3,3,30000,245760000,29.03009867668152,0.7875000238418579,0.7,0.971875011920929,1,1,0.9000000357627869,0.7,1,1,0.9000000357627869,0.9,0.9000000357627869,0.8,0.10000000149011612,0,0.9000000357627869,0.8,0.6000000238418579,0.4
mna_frontier_lp025_plr,mna_frontier_lp025_plr_u30000_s4,4,30000,245760000,31.213263273239136,0.6625000238418579,0.6625,0.953125,1,1,0.4000000059604645,0.3,1,1,1,1,0.9000000357627869,1,0,0,0,0,1,1
mna_frontier_lp025_plr,mna_frontier_lp025_plr_u30000_s5,5,30000,245760000,29.906800985336304,0.32499998807907104,0.3125,0.96875,1,1,0.6000000238418579,0.8,0,0,0.10000000149011612,0,0,0,0.4000000059604645,0.4,0,0,0.5,0.3
mna_plr,mna_plr_u1000_s0,0,1000,8192000,1180.613273859024,0.03750000149011612,,0.8406250476837158,0.30000001192092896,,0,,0,,0,,0,,0,,0,,0,
mna_plr,mna_plr_u250_s1,1,250,2048000,1785.7235236167908,0,,0.27812498807907104,0,,0,,0,,0,,0,,0,,0,,0,
mna_plr,mna_plr_u250_s2,2,250,2048000,1817.0813291072845,0,,0.24062500894069672,0,,0,,0,,0,,0,,0,,0,,0,
plr_frontier_lp,plr_frontier_lp_u250_s0,0,250,2048000,1073.7777938842773,0,,0.32499998807907104,0,,0,,0,,0,,0,,0,,0,,0,
plr_frontier,plr_frontier_u250_s0,0,250,2048000,1074.3793258666992,0,,0.21250000596046448,0,,0,,0,,0,,0,,0,,0,,0,
mna_frontier_lp025_plr,plr_mna_frontier_lp025_u1000_s0,0,1000,8192000,810.9525103569031,0.02500000037252903,,0.8531249761581421,0.20000000298023224,,0,,0,,0,,0,,0,,0,,0,
mna_frontier_lp025_plr,plr_mna_frontier_lp025_u250_s0,0,250,2048000,1668.450653553009,0,,0.2906250059604645,0,,0,,0,,0,,0,,0,,0,,0,
mna_frontier_lp025_plr,plr_mna_frontier_lp025_u250_s1,1,250,2048000,2166.080706357956,0,,0.3218750059604645,0,,0,,0,,0,,0,,0,,0,,0,
mna_frontier_lp025_plr,plr_mna_frontier_lp025_u250_s2,2,250,2048000,2187.9103660583496,0,,0.24687501788139343,0,,0,,0,,0,,0,,0,,0,,0,
mna_frontier_lp_plr,plr_mna_frontier_lp_u250_s0,0,250,2048000,1946.821207523346,0.012500000186264515,,0.28437501192092896,0,,0.10000000149011612,,0,,0,,0,,0,,0,,0,
mna_frontier_plr,plr_mna_frontier_u250_s0,0,250,2048000,1897.248149394989,0,,0.23750001192092896,0,,0,,0,,0,,0,,0,,0,,0,
mna_plr,plr_mna_u250_s0,0,250,2048000,1080.0469489097595,0,,0.265625,0,,0,,0,,0,,0,,0,,0,,0,

